,Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,Price,Make,Fuel_Type_Diesel,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Age,KM_Per_Year
0,1,Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,First,19.67,1582.0,126.2,5.0,12.5,Hyundai,1,0,0,1,11,3727.27
1,2,Honda Jazz V,Chennai,2011,46000,First,18.2,1199.0,88.7,5.0,4.5,Honda,0,1,0,1,15,3066.67
2,3,Maruti Ertiga VDI,Chennai,2012,87000,First,20.77,1248.0,88.76,7.0,6.0,Maruti,1,0,0,1,14,6214.29
3,4,Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Second,15.2,1968.0,140.8,5.0,17.74,Audi,1,0,1,0,13,3128.46
4,6,Nissan Micra Diesel XV,Jaipur,2013,86999,First,23.08,1461.0,63.1,5.0,3.5,Nissan,1,0,0,1,13,6692.23
5,7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,First,11.36,2755.0,171.5,8.0,17.5,Toyota,1,0,1,0,10,3600.0
6,8,Volkswagen Vento Diesel Comfortline,Pune,2013,64430,First,20.54,1598.0,103.6,5.0,5.2,Volkswagen,1,0,0,1,13,4956.15
7,9,Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Second,22.3,1248.0,74.0,5.0,1.95,Tata,1,0,0,1,14,4709.43
8,10,Maruti Ciaz Zeta,Kochi,2018,25692,First,21.56,1462.0,103.25,5.0,9.95,Maruti,0,1,0,1,8,3211.5
9,11,Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,First,16.8,1497.0,116.3,5.0,4.49,Honda,0,1,1,0,14,4285.71
10,12,Maruti Swift VDI BSIV,Jaipur,2015,64424,First,25.2,1248.0,74.0,5.0,5.6,Maruti,1,0,0,1,11,5856.73
11,13,Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,First,12.7,2179.0,187.7,5.0,27.0,Land,1,0,1,0,12,6000.0
12,14,Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Second,12.7,2179.0,115.0,5.0,17.5,Land,1,0,1,0,14,6071.43
13,15,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,First,13.5,2477.0,175.56,7.0,15.0,Mitsubishi,1,0,0,1,12,9166.67
14,16,Honda Amaze S i-Dtech,Kochi,2016,58950,First,25.8,1498.0,98.6,5.0,5.4,Honda,1,0,0,1,10,5895.0
15,17,Maruti Swift DDiS VDI,Jaipur,2017,25000,First,28.4,1248.0,74.0,5.0,5.99,Maruti,1,0,0,1,9,2777.78
16,18,Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,First,20.45,1461.0,83.8,5.0,6.34,Renault,1,0,0,1,12,6455.75
17,19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,First,14.84,2143.0,167.62,5.0,28.0,Mercedes-Benz,1,0,1,0,12,6541.67
18,20,BMW 3 Series 320d,Kochi,2014,32982,First,22.69,1995.0,190.0,5.0,18.55,BMW,1,0,1,0,12,2748.5
19,21,Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Second,23.65,1248.0,88.5,5.0,8.25,Maruti,1,0,0,1,11,5035.64
20,22,Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,First,13.53,1984.0,177.01,5.0,23.5,Audi,0,1,1,0,11,5089.55
21,23,Hyundai i20 1.2 Magna,Kolkata,2010,45807,First,18.5,1197.0,80.0,5.0,1.87,Hyundai,0,1,0,1,16,2862.94
22,24,Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,First,14.4,1598.0,103.6,5.0,2.85,Volkswagen,0,1,1,0,16,2062.5
23,25,Honda City Corporate Edition,Mumbai,2012,51920,First,16.8,1497.0,116.3,5.0,4.25,Honda,0,1,0,1,14,3708.57
24,26,Nissan Micra Diesel XV,Hyderabad,2012,54000,First,23.072,1461.0,63.1,5.0,4.25,Nissan,1,0,0,1,14,3857.14
25,27,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Second,20.92,998.0,67.1,5.0,2.75,Maruti,0,1,0,1,13,4153.85
26,28,Honda WRV i-VTEC VX,Kochi,2018,37430,First,17.5,1199.0,88.7,5.0,9.9,Honda,0,1,0,1,8,4678.75
27,29,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Fourth & Above,12.8,2494.0,102.0,7.0,4.0,Toyota,1,0,0,1,19,13789.47
28,30,Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,First,19.01,1461.0,108.45,5.0,7.75,Renault,1,0,0,1,13,4769.23
29,31,Toyota Corolla Altis G,Delhi,2012,87615,First,14.53,1798.0,138.1,5.0,6.75,Toyota,0,1,0,1,14,6258.21
30,32,Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Second,11.18,2696.0,184.0,7.0,12.5,Mahindra,1,0,1,0,13,5538.46
31,33,Audi A6 2.7 TDI,Kolkata,2010,35000,First,12.4,2698.0,179.5,5.0,11.5,Audi,1,0,1,0,16,2187.5
32,34,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Second,16.09,1598.0,103.5,5.0,6.98,Volkswagen,0,1,0,1,12,4619.25
33,35,Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Second,14.0,1061.0,64.0,5.0,1.85,Maruti,0,1,0,1,17,4930.35
34,36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,First,24.3,1248.0,88.5,5.0,8.63,Maruti,1,0,0,1,8,6259.38
35,37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,First,18.15,1198.0,82.0,5.0,4.85,Mahindra,0,1,0,1,9,5777.78
36,38,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,First,11.74,2987.0,254.8,5.0,28.0,Mercedes-Benz,1,0,1,0,13,6538.46
37,39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,First,22.07,1199.0,73.9,5.0,5.0,Volkswagen,1,0,0,1,13,4769.23
38,40,Maruti Alto LXi,Delhi,2008,90000,Second,19.7,796.0,46.3,5.0,1.25,Maruti,0,1,0,1,18,5000.0
39,41,Tata Nano LX SE,Kochi,2014,19698,First,25.4,624.0,37.5,4.0,1.53,Tata,0,1,0,1,12,1641.5
40,42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,First,25.32,1198.0,77.0,6.0,5.58,Mahindra,1,0,0,1,9,2448.11
41,43,Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,First,18.5,1197.0,82.9,5.0,4.74,Hyundai,0,1,0,1,12,2957.25
42,44,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,First,14.62,1999.0,149.92,5.0,8.85,Hyundai,0,1,1,0,12,3864.5
43,45,Toyota Corolla Altis G AT,Mumbai,2016,52001,First,14.28,1798.0,138.03,5.0,10.11,Toyota,0,1,1,0,10,5200.1
44,46,Hyundai Elantra CRDi,Ahmedabad,2008,58005,Second,14.9,1991.0,112.2,5.0,4.25,Hyundai,1,0,0,1,18,3222.5
45,47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,First,11.25,2694.0,163.7,7.0,10.95,Toyota,0,1,0,1,14,5050.29
46,48,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,First,24.4,1120.0,71.0,5.0,3.85,Hyundai,1,0,0,1,12,6250.0
47,49,Mahindra Thar CRDe AC,Jaipur,2012,75800,Second,16.55,2498.0,105.0,6.0,5.5,Mahindra,1,0,0,1,14,5414.29
48,50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,First,17.11,1968.0,174.33,5.0,21.43,Audi,1,0,1,0,11,1240.73
49,51,Maruti Swift LDI,Delhi,2014,52000,First,22.9,1248.0,74.0,5.0,4.25,Maruti,1,0,0,1,12,4333.33
50,52,Maruti Swift Ldi BSIV,Kolkata,2014,53000,First,17.8,1248.0,75.0,5.0,3.3,Maruti,1,0,0,1,12,4416.67
51,53,Maruti Swift VDI,Delhi,2013,65650,First,28.4,1248.0,74.0,5.0,3.85,Maruti,1,0,0,1,13,5050.0
